"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"Mach. Learning Project",project,2024-01-12,2024-03-29,0,0,35.5,,,,,
1.1,Preperation,group,2024-01-12,2024-02-21,0,0,63.11,,,,,
1.1.1,Procrastinate,task,2024-01-12,2024-01-29,0,0,80,,,,,orange2
1.1.2,Research,task,2024-01-30,2024-02-02,0,0,75,,,,,green3
1.1.3,"Dig up Data",task,2024-02-01,2024-02-21,0,0,50,,,,,blue3
1.1.4,"Build Presentaton",task,2024-02-05,2024-02-14,0,0,70,,,,,blue1
1.1.5,"Formulate Approach",task,2024-02-05,2024-02-07,0,0,50,,,,,purple2
1.1.6,"Build Gaant",task,2024-02-05,2024-02-07,0,0,40,,,,,blue2
1.2,Post-Proposal,group,2024-02-16,2024-03-29,0,0,0,,,,,
1.2.1,"Build Demo Models",task,2024-02-16,2024-03-06,0,0,0,,,,,blue1
1.2.2,"Normalize final dataset",task,2024-03-01,2024-03-06,0,0,0,,,,,blue3
1.2.3,"Fine Tune Output",task,2024-03-07,2024-03-14,0,0,0,,,,,blue3
1.2.4,"Write Rough Draft",task,2024-03-15,2024-03-22,0,0,0,,,,,magenta1
1.2.5,"Write Final Report",task,2024-03-25,2024-03-29,0,0,0,,,,,purple1
